,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10
Neuron01,-1.1555262,2.0121117,-1.3656121,2.2331634,0.43323067,-0.18159898,-0.26810753,0.88153946,5.0562916,-0.28802124
Neuron02,1.7263178,-0.9093632,2.0710058,1.4713131,0.7145168,-0.8665369,-0.62536895,1.9177183,-1.1880322,0.080625504
Neuron03,1.0815393,-0.19666523,0.6353077,-1.8548898,-0.82377714,0.92833185,2.075026,-2.2814085,-1.3298323,1.2951503
Neuron04,0.3708416,0.6381903,1.7967943,1.0020285,-0.20810793,-2.2529871,-0.37341198,1.243557,1.7716097,1.3296832
Neuron05,-0.46170467,0.36231548,0.04014717,4.2155585,1.141022,-0.38362724,0.32904214,1.4389546,1.0507091,-0.8255544
Neuron06,-0.5237496,1.6044481,-1.8148139,0.13838346,2.0680594,1.7689786,-2.338809,0.079592444,1.0248289,-1.1100689
Neuron07,0.48181257,0.8104863,-0.23964107,2.120236,0.50513184,-1.7115552,-1.3214977,1.5654353,-0.6529272,0.7448133
Neuron08,0.026846144,3.1976652,-0.20597763,2.7638447,0.839897,-1.4801786,2.7334087,0.46528208,3.5468957,2.026834
Neuron09,0.9796694,-2.2940078,1.4260067,-1.581859,-0.4727358,1.9983461,1.7669135,1.5125092,-0.8372994,-1.1742234
Neuron10,0.7804882,0.978603,-0.75205123,1.1048348,-0.85313,1.3448006,0.74819267,-0.99901813,0.85558724,1.0891818
Neuron11,2.541936,1.0602986,1.7295535,1.1285162,0.3725102,-0.9040966,-0.34171024,-2.4021518,-0.9300908,3.1893418
Neuron12,1.2726598,1.0277152,-1.7316796,0.5336242,0.06688628,1.4436086,-0.52624273,1.0768304,-1.7135473,1.0093408
Neuron13,0.6171149,0.8771528,0.41227683,0.60142726,0.4884361,0.41591996,-1.2165359,1.7569977,0.9019437,0.54249597
Neuron14,-0.590054,0.17280474,-0.56545925,4.463933,-0.3325554,-2.0572116,0.1899836,2.2773626,-0.068488695,-0.07895777
Neuron15,1.3070806,0.9630623,1.9453785,-1.3696376,-0.45523027,1.4083432,4.67831,-0.86223245,0.53832906,2.5044484
Neuron16,-1.6466293,0.6893109,0.74117196,0.10919702,0.9625335,-0.83555853,0.78419,-0.48549193,3.6565866,-0.17576185
Neuron17,0.8645685,1.5831869,-0.8377357,1.6894261,0.9751709,0.21611649,-2.2034998,2.4796631,-0.4525619,0.21359184
Neuron18,0.2898317,-0.026023507,-0.66436064,-2.0380068,-1.1303153,1.4663203,4.478919,-0.82897365,0.112890996,0.0365441
Neuron19,0.99599975,-0.64110047,1.4823326,-0.16582392,0.42949146,1.019746,0.8569789,0.7093716,-0.11617213,0.7020495
Neuron20,-0.14197786,-0.64391255,1.1479368,1.3099829,0.666065,-0.8414147,1.4641455,1.7530857,1.3500143,-0.4620351
Neuron21,-0.43960595,0.37037003,0.65308845,2.234067,1.7265906,2.6264825,1.9012434,1.0494069,3.552259,-1.2012303
Neuron22,-0.58771056,0.97992617,-0.79528064,-0.5444502,1.3469961,0.622192,-1.428881,0.6408794,0.7587207,-0.41592413
Neuron23,1.3047953,1.5509088,0.02046672,-2.0917728,2.7449434,1.5968155,-1.5267115,-0.574612,-0.98425484,0.8978533
Neuron24,-2.0921116,-0.12396189,-2.5538356,4.392564,0.056976393,-0.94761395,-1.1499281,1.785476,0.5411311,-2.2515814
Neuron25,0.95073164,1.1565694,1.2447875,0.20059872,0.67301357,0.30232447,0.98828214,0.14220826,0.8216503,1.5090444
Neuron26,1.2474433,0.57510036,0.23309259,2.4453974,0.49798042,-1.2305247,-0.6659101,1.0294652,-1.9820493,0.67210287
Neuron27,0.8837554,-1.4665036,1.5939432,0.16657181,-0.07093866,1.509127,1.4755644,1.7211022,-1.6196712,-0.977242
Neuron28,0.59515005,0.7497818,0.6039807,-0.91909355,0.84533685,1.544065,0.34943926,-0.4860327,1.1131005,0.85739243
Neuron29,0.6862448,0.20802782,1.3440876,-0.91013306,-0.4309287,-1.0137233,0.36035734,-1.7323897,0.6728294,1.5445149
Neuron30,-1.53354,-0.37256038,-0.75272393,-0.17013516,-0.66385007,2.0989263,4.4276085,1.7434351,3.4518216,-1.9487517
