"","Comp01","Comp02","Comp03","Comp04"
"407",0.0166401138025668,0.00801463886318847,-0.000950896129441387,-0.00647102005881707
"416",0.0118657245069483,0.00404965191214499,-1.13587623669586e-05,-0.00420565819455175
"424",0.00998194366776541,0.00222702780662391,-0.000202003923913556,-0.00511885346163125
"431",0.00844484821896534,0.00139785690958657,-0.000571314158850506,-0.00338821548298176
"439",0.0102246340279971,0.00258544129772323,-0.00145697426252135,-0.00602177295451431
"446",0.010830800252473,0.0041163769934882,-0.00186092634605471,-0.00438747080942768
"453",0.0099611674726064,0.0035952942183622,-0.00223773337553539,-0.00386466236876431
"461",0.00880807928354785,0.00308081259980433,-0.00247073980577824,-0.00287556273181011
"468",0.00728761510966941,0.0018550094178776,-0.00295805581806815,-0.00262676174323966
"475",0.00792232183140407,0.00200757648185772,-0.00318032120326855,-0.00388237074142989
"483",0.0085980424313295,0.00292620162350549,-0.00377344023438959,-0.00358922153538237
"490",0.00825725251884777,0.00183189771303078,-0.0039398086729052,-0.00519331137927696
"497",0.00830181575659974,0.0024406777773523,-0.00479989501202252,-0.00426403126105948
"505",0.00932288595011528,0.00214413998150754,-0.00529410584368299,-0.00545767766606315
"512",0.0105672083919054,0.00259185033216254,-0.00595419364005696,-0.00468709269172764
"520",0.01198643747535,0.0013674208616586,-0.0063021558579174,-0.0052968883194525
"527",0.0156955296662339,0.00177085327057997,-0.00715809444415235,-0.00543151893534107
"535",0.0199217789822942,0.00194005928310381,-0.00797683040444575,-0.00655708517595524
"543",0.0228899082881008,0.00205838930300784,-0.00863766442266208,-0.00730546814500035
"551",0.0244358246144657,0.00266568083950508,-0.00931557712906734,-0.00732683176289789
"559",0.0244015881582595,0.00262130225296966,-0.00997361695269514,-0.00747841193848265
"567",0.0234757902191179,0.00275003624067549,-0.010818492547853,-0.00829179945068824
"575",0.0228524290912687,0.00357668594774453,-0.0119443518727929,-0.00866689136213266
"584",0.0217291577470986,0.0035910419928102,-0.0127721751225985,-0.00941709815735681
"592",0.020706512685217,0.00363522511510944,-0.0135199997590285,-0.0093464078802003
"601",0.0215465789177318,0.00406970665744644,-0.014572114365045,-0.0101284075832956
"610",0.0211290284612103,0.00376580510210036,-0.0151289012377752,-0.0108993404210482
"619",0.0204362000474894,0.00371068946510108,-0.0157839561626506,-0.0116427502057892
"628",0.0209679843694919,0.00411387530239741,-0.0166367602497373,-0.0120013810110046
"637",0.0211612819264212,0.0044205788511298,-0.0173756347434452,-0.0124228547286003
"646",0.0203513577237993,0.00427852036862598,-0.0172450029037799,-0.0127664558896759
"655",0.0190453736581767,0.00403830038175069,-0.0169982689405315,-0.0127090565123454
"665",0.0186096691729633,0.00390431737907138,-0.0171207809953801,-0.0131262839425621
"674",0.0181978246561147,0.00367806254322306,-0.0166962177934907,-0.0131975986424569
"684",0.0199069623413839,0.00384223711520136,-0.0180598146838848,-0.0134084593068094
"694",0.0289706520429089,0.00538816649557386,-0.0226011513850228,-0.0151330513560548
"704",0.0472018534238791,0.00810264878200096,-0.0280024011634229,-0.0140090835094139
"714",0.0672866760220222,0.00823497142541501,-0.0281834556970867,-0.0130412183397447
"724",0.0923245326763431,0.00731533989655833,-0.0246784327829493,-0.0110534416701462
"734",0.125888614401188,0.0113143519476192,-0.0188477270352581,-0.000124834368527204
"744",0.1470440916379,0.00971276502855333,-0.0116909537040225,0.000651070970966132
"754",0.156583833424809,0.00547564080550315,-0.00808528908068113,-0.00519268526501803
"765",0.158989263970131,0.00111825881186756,-0.00520278084550135,-0.00381934644643337
"775",0.185427724390107,0.0107440173895117,-0.00803237145762989,-0.00017686264973054
"786",0.172207517790996,0.00616006692205061,-0.00792034540266887,-0.00317625215293301
"796",0.176624067007503,0.0072273195152867,-0.00936497633780217,-0.0053283730784982
"807",0.18086142653105,0.00606202128992246,-0.0102901318104192,-0.010456446735812
"817",0.176140604557413,0.0049178330293832,-0.011871488508684,-0.0083106814569299
"828",0.186756600497875,0.00902311468007476,-0.0140732235906372,-0.00624293721571298
"839",0.19183477009208,0.0116520582924197,-0.0160282158502591,-0.00660646841370482
"849",0.189921678898804,0.0115090975271354,-0.0175079343128984,-0.0096835788968435
"860",0.189319075095328,0.0118042646828596,-0.0187905046312692,-0.012182760421254
"871",0.188313542352592,0.0120901107711421,-0.0200552192309219,-0.0140130945789106
"881",0.193202065997925,0.0118233865673881,-0.0218303522847954,-0.0178687955365539
"892",0.192771448970282,0.00922710688659423,-0.0231268995712674,-0.0231771387365325
"903",0.188182245405689,0.00740428168373658,-0.0239862476555572,-0.0211623988672327
"913",0.189739287130161,0.0103638259559171,-0.0267894014133178,-0.0181267015580522
"924",0.196169249774268,0.00516701743942828,-0.0257071163642272,-0.0345611748291355
"934",0.167658126645546,-0.00789021586124498,-0.0213214219431855,-0.0426154068561391
"945",0.184379224792994,0.00931298604844653,-0.024953379980108,-0.013489304483544
"956",0.187910063174351,0.0174456232041095,-0.0296068189300885,0.00355000621804341
"967",0.189986688135043,0.0207714901796511,-0.0349488101470042,0.000921522450843086
"977",0.189687805908909,0.0178854625702202,-0.0360981728310287,-0.00973972604026149
"979",0.192932737693581,0.0114009789801225,-0.0345089770507284,-0.017718994595845
"989",0.194725857901705,0.0136204553010959,-0.0347489099532371,-0.0163688468986885
"999",0.195060452687181,0.0142328753855384,-0.0355429124997682,-0.0200451601816605
